и	and
рисова́ть	draw, paint
разрабо́тчик	developer
еди́нство	unity
отрица́тельный	negative
инве́стор	investor
возникнове́ние	origin, start
сте́нка	wall
музыка́нт	musician
повести́	lead, take
мо́щность	power
пье́са	play
блестя́щий	shiny, brilliant
десятиле́тие	decade
изве́стие	news
печа́льный	sad
иностра́нец	foreigner
экспеди́ция	expedition
улучше́ние	improvement
волнова́ться	worry, be nervous
неизве́стно	unknown
прогре́сс	progress
цити́ровать	quote
сле́ва	left
я́блоко	apple
короле́ва	queen
по́яс	belt, zone
ме́стность	area, locality
квадра́тный	square
заинтересова́ть	interest
стару́ха	old woman
аэродро́м	aerodrome, airfield
нача́льный	initial
вы́годный	favourable, profitable
реаги́ровать	react
дели́ться	divide, share
сою́зник	ally
торопи́ться	hurry, rush
аэропо́рт	airport
дисципли́на	discipline, subject
А́зия	Asia
миф	myth
тра́нспортный	transport
сокраще́ние	reduction, cut, abbreviation
сапо́г	boot
внача́ле	at first
во́время	in time, on time
ме́лочь	trifle, change, nothing
кусо́чек	piece
неплохо́й	not bad, decent
свобо́дно	freely
жа́лоба	complaint
спра́ва	on the right
конкуре́нт	competitor
ма́ска	mask
прозра́чный	transparent
коро́ва	cow
потребле́ние	consumption
наста́ивать	insist
ложи́ться	lie (down)
освобожде́ние	release
вынима́ть	take out
напи́ток	drink
двойно́й	double
по́дпись	signature
пи́сьменный	written
применя́ться	be applied, be used
матема́тика	mathematics
густо́й	thick
потре́боваться	be required, need
инвестицио́нный	investment
авторите́т	authority, criminal leader (slang)
отраже́ние	reflection, fending off
мото́р	engine
кремль	Kremlin, fortress
по́льский	Polish
небе́сный	heavenly
измере́ние	measurement, dimension
сту́дия	studio
забо́титься	take care
экологи́ческий	ecological
моли́ться	pray
предвари́тельный	preliminary, advance
и́скренне	sincerely
по́весть	story, novel
компоне́нт	component, ingredient
неве́ста	bride, fiancée
пере́дний	front
го́рдость	pride
вклад	contribution, deposit
наблюда́ться	be observed
мета́лл	metal
Русь	Rus, Ancient Russia
опла́чивать	pay
подходя́щий	appropriate
непра́вильный	wrong, irregular
сопровожда́ть	accompany
пребыва́ние	residence
теорети́ческий	theoretical
ложь	lie
кра́ткий	brief
катастро́фа	catastrophe, crash
про́филь	profile
справедли́вый	fair
эксплуата́ция	exploitation, operation
кварта́л	block of houses, quarter
пожа́р	fire
оконча́тельный	final
головно́й	head
налива́ть	pour
подъѐм	ascent, rise
чуде́сный	wonderful
металли́ческий	metal
уда́чный	successful
стати́стика	statistics
крити́ческий	critical
проце́ссор	processor
руль	steering wheel
два́жды	twice
негати́вный	negative
во-пе́рвых	firstly
уби́йца	killer
шесто́й	sixth
пожило́й	elderly
супру́г	spouse, husband
наве́рх	up
прогно́з	forecast
собесе́дник	interlocutor
свида́ние	date
то́нна	tonne
медве́дь	bear
платфо́рма	platform
са́хар	sugar
эволю́ция	evolution
пусты́ня	desert
оригина́льный	original
ме́бель	furniture
оби́да	offence
горизо́нт	horizon
сочета́ние	combination
арти́ст	artist, actor
ча́шка	cup
съезд	congress
принц	prince
спра́вка	certificate, statement, inquiry
приобрете́ние	acquisition, purchase
гра́фик	schedule, diagram, graph
профессиона́л	professional
фило́соф	philosopher
гнев	anger
захоте́ться	feel like
ве́тка	branch
отстава́ть	be behind
сла́бость	weakness
почто́вый	postal
целико́м	entirely
де́душка	grandfather
кре́пость	fortress, strength
церко́вный	church
опро́с	survey, poll
сла́дкий	sweet
консульта́нт	consultant
незави́симость	independence
вылета́ть	depart, fly out
свеча́	candle
катало́г	catalogue
доли́на	valley
ствол	trunk
невероя́тный	unbelievable
зако́нный	legitimate
целова́ть	kiss
колле́кция	collection
забо́р	fence, intake
отча́яние	despair
мгнове́нно	instantly
пуга́ть	scare
благода́рность	thanks, gratitude
испуга́ться	get scared
уси́ливать	strengthen, increase
суро́вый	severe
обыкнове́нный	ordinary
награ́да	award
я́рко	brightly
проти́вный	nasty
пресле́довать	pursue, persecute
взаи́мный	mutual
типи́чный	typical
отрыва́ть	tear off, disturb, distract
фо́то	photo
установле́ние	establishment
оппози́ция	opposition
немно́жко	little
гра́дус	degree
демонстри́ровать	demonstrate, show
таре́лка	plate, bowl
предположе́ние	assumption
ора́ть	bawl
ступе́нь	step, stage
молоде́ц	well done, great
хране́ние	storage, safekeeping
грози́ть	threaten
изда́тельство	publishing house
цифрово́й	digital
экземпля́р	copy
благоро́дный	noble
неуда́ча	failure
слома́ть	break
муниципа́льный	municipal
исто́рик	historian
мра́чный	miserable
те́сный	cramped, narrow, tight-fitting
ядро́	centre, core
пре́док	ancestor
медици́на	medicine
му́дрость	wisdom
тяну́ться	stretch
сокраща́ть	reduce
виртуа́льный	virtual
россия́нин	Russian
сок	juice
течь	flow, leak
престу́пник	criminal
волнова́ть	agitate
расположе́ние	location, mood
сере́бряный	silver
ба́зовый	basic
гро́мкий	loud
слова́рь	dictionary
ра́на	wound
класть	put
гига́нтский	gigantic
электри́ческий	electric
дурно́й	stupid, bad
избира́тельный	electoral
ка́федра	department
блю́до	dish
зака́зчик	customer
посо́л	ambassador
мышь	mouse
вре́дный	harmful, evil
стари́нный	ancient, old
верѐвка	rope, line
по́за	pose
волне́ние	excitement
ла́па	paw
глухо́й	deaf
руководи́ть	direct, be in charge
тѐтя	aunt
нра́вственный	moral
размышле́ние	thought
аккура́тно	carefully
психи́ческий	psychic, mental
беспоко́иться	worry
математи́ческий	mathematical
мука́	flour, torment
закрытый	closed
сро́чный	urgent
архитекту́ра	architecture
пры́гать	jump
обы́чай	custom
шко́льник	pupil
всле́дствие	as a result of, due to
хими́ческий	chemical
ветера́н	veteran
ла́мпа	lamp
автомати́чески	automatically
технологи́ческий	technological
лице́нзия	licence
жило́й	residential
ошиба́ться	make a mistake
мате́рия	matter, fabric
прогу́лка	walk
разры́в	gap
пустота́	emptiness, space
ужа́сно	terribly, really
короле́вский	royal
рискова́ть	risk
образова́тельный	educational
заме́на	replacement
трениро́вка	training
рассужда́ть	argue, talk
ежедне́вный	daily
мо́лодость	youth
ю́мор	humour
А́фрика	Africa
мя́гко	softly, gently
страхово́й	insurance
твѐрдо	firm(ly), stern(ly)
комменти́ровать	comment
боже́ственный	divine
усто́йчивый	solid
пригово́р	verdict
пострада́ть	suffer, to be injured
алкого́ль	alcohol
диза́йн	design
рассле́дование	investigation
просмо́тр	viewing
уничтоже́ние	destruction
спа́льня	bedroom
располага́ться	be (situated), make oneself comfortable
белору́сский	Belarusian
попра́вка	correction
про́за	prose
поста́вка	delivery, supply
сканда́л	scandal
соотноше́ние	ratio
краси́во	beautifully, nicely
ад	hell
логи́ческий	logical
совпада́ть	coincide, concur
нарисова́ть	draw
одея́ло	blanket
сумасше́дший	crazy
иссле́довать	research, explore, study
мы́шца	muscle
изобража́ть	represent, show
укрепле́ние	strengthening
поцелова́ть	kiss
учѐба	studies
соверше́нный	advanced
у́тренний	morning
актуа́льный	of current interest, urgent
всеми́рный	worldwide
фа́брика	factory
пеще́ра	cave
тала́нтливый	talented
монито́р	monitor
энергети́ческий	power
цветно́й	colour(ed)
матч	match
кида́ть	throw
поду́шка	pillow
вы́ше	higher
препя́тствие	obstacle
фона́рь	(street) light, black eye (slang)
лифт	lift
угова́ривать	persuade
регуля́рно	regularly
ука́занный	indicated
департа́мент	department
дли́ться	last
подтвержде́ние	confirmation
батаре́я	radiator, battery
ба́нковский	bank
волше́бный	magic
седьмо́й	seventh
се́рвис	service
производи́ться	be produced, be manufactured
флаг	flag
посо́бие	benefit, aid, textbook
приключе́ние	adventure
запира́ть	lock
коммунисти́ческий	communist
му́дрый	wise
бле́дный	pale
доро́жка	road, path, way
норма́льно	it is normal
гаранти́ровать	ensure, guarantee
неприя́тность	trouble
внук	grandson
посла́ние	message
рассве́т	dawn
пляж	beach
че́тверть	quarter
вор	thief
хозя́йственный	household
благода́рный	grateful
недалеко́	near
мо́дный	fashionable
игрово́й	playing, game
горди́ться	be proud
спаса́ть	rescue
железнодоро́жный	railway
любопы́тство	curiosity
кни́жный	book
эли́та	elite
предполага́ться	be supposed
води́ть	drive, take
оформле́ние	execution, design, processing
по́двиг	feat
ритм	rhythm
заверше́ние	completion, finishing
голосова́ние	voting, ballot
о́тзыв	reference, feedback
нерв	nerve
пило́т	pilot
иллю́зия	illusion
ра́достный	happy
христиани́н	Christian
акаде́мик	academician
выходно́й	day off, weekend
неви́димый	invisible
тра́сса	track
ге́ний	genius
сплошно́й	continuous
сты́дно	shameful
здо́рово	great, quite
социалисти́ческий	socialist
угрожа́ть	threaten
наибо́льший	most
ры́жий	ginger
ограни́ченный	restricted
тя́жесть	weight
бытово́й	everyday, household
ра́звитый	developed
запре́т	ban
уголо́к	corner
тре́нер	coach (sport)
вы́года	benefit
рок	fate, rock
лечи́ть	treat
москви́ч	Muscovite
переры́в	break
бассе́йн	pool
напеча́тать	print, publish, type
употребле́ние	use, application
круго́м	around
гроб	coffin
мэр	mayor
врать	lie
каби́на	cabin, cockpit
зая́вка	application
кри́тик	critic
проговори́ть	utter, spend time talking
ку́ртка	jacket
служе́бный	official
внедре́ние	implementation
бельѐ	linen, underwear
носи́тель	carrier, digital media, native speaker
систе́мный	system
обще́ственность	public, community
милиционе́р	police officer
чи́сленность	quantity, number
валю́та	currency
кла́дбище	cemetery
дѐшево	cheap
улучша́ть	improve
бюдже́тный	budgetary, state-financed
ико́на	icon
вчера́шний	yesterday
ро́вный	even, stable
после́довательность	sequence, order
полице́йский	policeman
шути́ть	joke
проте́ст	protest
боти́нок	shoe
уменьша́ть	reduce
храни́ться	be stored, be kept
две́сти	two hundred
показа́ние	indication, evidence
уноси́ть	take away, carry away
пове́сить	hang
специа́льность	profession
поса́дка	planting, landing
холоди́льник	refrigerator
шо́у	show
тро́гать	touch
копе́йка	kopeck
повы́шенный	increased
стих	poetry, verse
голо́дный	hungry
закрыва́ться	close
отча́сти	partly
террори́ст	terrorist
учи́лище	training school, institute
любопы́тный	curious
инвали́д	disabled
подря́д	in a row
чемода́н	suitcase
приглаше́ние	invitation
ро́ды	childbirth
пес	dog
младе́нец	baby
вслух	aloud
подозре́ние	suspicion
употребля́ть	use
соблюда́ть	obey
распространя́ться	spread, be extended
подъезжа́ть	drive up
размышля́ть	reflect, think
универса́льный	universal
фрагме́нт	fragment, small part
постано́вка	production, statement, formulation
цени́ть	appreciate, value
дыра́	hole
сраже́ние	battle
бала́нс	balance
уве́ренно	confidently
мо́рда	snout
ло́жный	false
подва́л	basement, cellar
привлека́тельный	attractive
ви́за	visa
за́нятый	busy
э́хо	echo
торгова́ть	trade, sell
социали́зм	socialism
хор	choir
рука́в	sleeve
а́томный	atomic
разруше́ние	destruction
настава́ть	come
столо́вая	canteen, dining room
верх	top
шеф	boss
посеще́ние	visit, attendance
симпати́чный	attractive, nice
выдаю́щийся	outstanding, eminent
па́лка	stick
плита́	stove, plate
продава́ться	be on sale
бровь	eyebrow
атакова́ть	attack
рай	heaven
перево́дчик	translator
равнове́сие	balance
сле́дователь	investigator
обеща́ние	promise
секре́тный	secret
посо́льство	embassy
бесполе́зный	useless
прие́зд	arrival
быт	daily routine
мастерска́я	workshop, repair shop
прохо́д	passage
подво́дный	underwater
уча́щийся	student
па́чка	packet, wad
плани́рование	planning
беспоко́ить	bother, concern
Би́блия	Bible
бизнесме́н	businessman
части́чно	partially
настро́йка	setting
ветвь	branch
неоднокра́тно	repeatedly, several times
производи́тельность	productivity
догоня́ть	chase, catch up
жу́ткий	terrible, spooky
грамм	gram
ничего́	nothing
такси́	taxi
треть	third
райо́нный	district
приве́тствовать	greet, welcome
приде́рживаться	hold to, stick to
засмея́ться	laugh
плато́к	shawl
улета́ть	fly away, leave
кита́ец	Chinese man
рак	crawfish, cancer
вра́жеский	enemy
программи́ст	programmer
таи́нственный	mysterious
охра́нник	guard
коллекти́вный	collective, team
футбо́л	football
соль	salt
вступле́ние	introduction, entry
биологи́ческий	biological
труди́ться	work
ма́ксимум	maximum, the most
поро́да	breed
прекраща́ться	stop, expire
отреза́ть	cut
гру́стный	sad
либера́льный	liberal
шоссе́	motorway
происше́ствие	incident
чистота́	cleanliness, purity
стуча́ть	hit, knock, snitch (slang)
ку́рица	chicken
бума́жный	paper
но́жка	leg, foot
подлежа́ть	be subject
вы́плата	payment
я́ма	pit
плен	captivity
сни́мок	picture
соблюде́ние	compliance
рожда́ться	be born
ло́жка	spoon
идио́т	idiot
е́ле	hardly
то́пливо	fuel
ковѐр	carpet, rug
грома́дный	huge
консульта́ция	consultation
увели́чиваться	increase
фина́л	end, final
бессмы́сленный	senseless
заме́тка	note, newspaper article
галере́я	gallery
по-друго́му	in a different way, differently
счесть	consider
сре́днее	average
избира́тель	elector
лете́ть	fly
несча́стье	misfortune
голосова́ть	vote
жени́х	bridegroom, fiancé
слы́шно	possible to hear, audibly
ви́рус	virus
моне́та	coin
бу́рный	stormy
пло́тный	thick
фундамента́льный	fundamental
жи́дкость	liquid
автомати́ческий	automatic
специфи́ческий	specific
фина́нсы	finances
мыть	wash
повлия́ть	influence, affect
зага́дка	mystery, riddle
заба́вный	funny
охраня́ть	guard
ма́гия	magic
исполни́тель	performer, executor
обши́рный	extensive
прое́хать	drive, get to
наслажда́ться	enjoy
смешно́	funny
автомоби́льный	car
юри́ст	lawyer
пропага́нда	propaganda
аре́ст	arrest
терпе́ние	patience
мора́ль	morality
дипло́м	diploma, degree
цепо́чка	chain
посторо́нний	strange, outside
му́сор	rubbish
разделе́ние	division
ша́пка	cap, hat
ро́бот	robot
нефтяно́й	oil
открове́нный	frank
отбо́р	selection
тари́ф	rate, price
уста́лость	tiredness
борода́	beard
стару́шка	old woman
защи́тник	defender
полюби́ть	fall in love
педаго́г	teacher
выделя́ться	stand out
и́скренний	sincere
части́ца	particle
сво́йственный	typical, common, appropriate
строи́тельный	construction
звено́	link
продемонстри́ровать	demonstrate, show
форма́льный	formal
чуть-чу́ть	a little
испо́ртить	spoil, ruin
наслажде́ние	enjoyment
пря́таться	hide
худо́й	thin
шок	shock
банди́т	bandit
бли́зость	closeness
гости́ная	living room
ту́ча	cloud
популя́рность	popularity
тур	round
формирова́ться	be formed
балко́н	balcony
ви́деться	see
бесе́довать	talk
гита́ра	guitar
ло́коть	elbow
объясня́ться	explain
позити́вный	positive
ми́нус	minus
споко́йствие	calm
зажига́ть	light
проще́ние	forgiveness
выпускни́к	graduate
обвиня́ть	accuse
поцелу́й	kiss
чемпиона́т	championship
щит	shield
действи́тельный	real, valid
напряжѐнный	intensive, tense
приз	prize
отте́нок	shade
со́бственник	owner
доста́вка	delivery
поступле́ние	receipt, enrolment
регули́рование	regulation
гипо́теза	hypothesis
отъе́зд	departure
коло́ния	colony
кома́ндовать	command, be in charge
пожале́ть	feel sorry
размеще́ние	placement, deployment
театра́льный	theatrical
ра́нить	wound
ви́део	video
страхова́ние	insurance
развлече́ние	entertainment
ю́ность	youth
пот	sweat
надо́лго	for a long time
посу́да	dishes
принципиа́льный	of principle, fundamental
фаши́ст	fascist
ва́нная	bathroom
стре́лка	arrow, hand (of clock)
проспе́кт	avenue
турни́р	tournament
иск	lawsuit
звѐздный	star
крова́вый	bloody
отрица́ть	deny
фа́за	phase
сорт	grade, type, quality
воспринима́ться	be perceived
грузови́к	lorry
дина́мика	dynamics
предлага́ться	be offered
темно́	dark
мы́слить	think
па́пка	folder, file
по́лдень	noon
духи́	perfume
го́рький	bitter
боло́то	swamp
ава́рия	accident
инсти́нкт	instinct
контро́льный	control, check
возглавля́ть	lead
маг	magician
стро́чка	line
кла́ссный	class, cool
желу́док	stomach
побере́жье	coast
япо́нец	Japanese
ра́са	race
чече́нский	Chechen
нуль	null, zero
кры́шка	cover, lid
стекля́нный	glass
те́зис	thesis, point
недви́жимость	real estate, property
ведро́	bucket
интелле́кт	intelligence
плащ	raincoat
принадле́жность	accessory
возраста́ть	increase
христиа́нство	Christianity
мо́лния	lightning
ва́жность	importance
заболе́ть	fall ill
компенса́ция	compensation
наблюда́тель	observer
облегче́ние	relief
табле́тка	tablet
сме́лый	brave
педагоги́ческий	pedagogical
беспоко́йство	concern
изготовле́ние	production
взлета́ть	take off, fly out
поставщи́к	supplier
меню́	menu
моря́к	sailor
доро́жный	road, traffic
что-ли́бо	anything, something
платѐж	payment
плани́роваться	be planned
акце́нт	accent, emphasis
мощь	power
супру́га	spouse (female), wife
велича́йший	greatest
замолча́ть	fall silent
одина́ково	equally
меда́ль	medal
брю́ки	trousers
ви́димость	visibility, illusion
поэти́ческий	poetic
прави́тельственный	government(al)
торже́ственный	ceremonial
ружьѐ	gun
дья́вол	devil
блеск	shine
лома́ть	break
приблизи́тельно	approximately, roughly
хала́т	bathrobe
примеча́ние	note
недово́льный	displeased, malcontent
ара́бский	Arabic
оптима́льный	optimal
казнь	execution
пальто́	coat
капитали́зм	capitalism
безопа́сный	safe
драгоце́нный	precious
разво́д	divorce
сни́зу	from below, from the bottom
колеба́ние	fluctuation
дели́ть	divide, share
кры́са	rat
могу́чий	powerful, strong
обсужда́ться	be discussed
разбуди́ть	wake
жара́	heat
предупрежде́ние	warning, prevention
весе́нний	spring
ледяно́й	ice
фантасти́ческий	fantastic
велосипе́д	bicycle
ООН	UN, United Nations
реце́пт	recipe, prescription
мело́дия	melody, song
карто́шка	potato
седо́й	grey
студе́нческий	student
вку́сный	tasty
смесь	mixture
полно́	full
шестьдеся́т	sixty
му́ха	fly
вне́шность	appearance
мастерство́	skill
пешко́м	on foot
идеологи́ческий	ideological
персона́льный	personal
столкнове́ние	collision
раздража́ть	irritate, annoy
радиоста́нция	radio station
формирова́ть	form
му́чить	torment
испа́нский	Spanish
сни́ться	dream
дополне́ние	accessory
бюро́	office
проше́дший	past
реши́тельный	resolute
нару́жу	out
вмеша́тельство	intervention, interfering
здравоохране́ние	public health service
обра́доваться	rejoice, be happy
приорите́т	priority
дневно́й	day
лу́нный	lunar, moonlit
о́бувь	footware, shoes
стоя́нка	car park, stand
демонстра́ция	demonstration, showing
где-нибу́дь	somewhere, anywhere
вре́менный	temporary
гармо́ния	harmony
слепо́й	blind
повседне́вный	everyday
ориента́ция	orientation
подверга́ться	undergo, be subjected
го́нка	race
ток	electric current
элемента́рный	elementary
анализи́ровать	analyse
бензи́н	petrol
зерно́	grain
группиро́вка	group
усиле́ние	strengthening, intensification, increase
за́ново	again
дави́ть	press
претендова́ть	make a claim for, aspire
языково́й	language
пра́здничный	festive
креди́тный	credit
интерфе́йс	interface
мо́дуль	module
незначи́тельный	minor, slight
квалифика́ция	qualification
сыр	cheese
восьмо́й	eighth
незако́нный	illegal
президе́нтский	presidential
обма́н	deception
сне́жный	snow
национа́льность	nationality, ethnicity
зре́лище	spectacle
гриб	mushroom
исключи́тельный	exceptional, exclusive
ску́чный	boring
про́вод	wire, line
фрукт	fruit
нема́лый	considerable
неве́рный	wrong
слу́жащий	employee
штраф	fine
ба́ня	sauna
нену́жный	unnecessary
передово́й	innovative, advanced
пло́ский	flat
церемо́ния	ceremony
тупо́й	blunt, stupid
возбужде́ние	excitement
сове́тник	advisor
ступе́нька	step
оригина́л	original
жи́вопись	painting, art
бока́л	wine/champagne glass
нить	thread
предстоя́щий	forthcoming
балл	mark
ю́бка	skirt
сопе́рник	rival
конституцио́нный	constitutional
ху́дший	worst
инспе́ктор	inspector
сиде́нье	seat
вспы́шка	flash
стаби́льность	stability
дра́ться	fight
е́вро	Euro
альтернати́вный	alternative
отверну́ться	turn one's back on
интерпрета́ция	interpretation
рациона́льный	rational
лати́нский	Latin
скоре́е	quicker, rather
функциона́льный	functional
свинья́	pig
желе́зо	iron
жела́ющий	anyone wishing
поменя́ть	change
ва́нна	bath
полго́да	half a year
вдвоѐм	together, two
ста́рость	old age
постро́йка	building
разнообра́зие	diversity
внутрь	inside
ко́жаный	leather
кли́мат	climate
змея́	snake
отве́рстие	hole
администра́тор	manager, administrator
целево́й	target
эксперти́за	examination
биогра́фия	biography
го́рдый	proud
строе́ние	structure, building
плѐнка	film
ноутбу́к	laptop
поко́нчить	stop, put a stop to
молодѐжный	youth
тра́вма	injury
выпи́сывать	prescribe, discharge, order, copy out, subscribe
рюкза́к	rucksack
прислу́шиваться	listen
стреми́тельно	rapidly
тѐтка	aunt, woman (slang)
пото́мок	descendant
любо́вный	love
печа́тный	print
кру́жка	mug
при́ступ	attack
непреры́вный	continuous
бедро́	hip
гениа́льный	genial
э́кспорт	export
патро́н	cartridge
операцио́нный	operating
интеллиге́нция	intelligentsia
сда́ча	change, leasing
опо́ра	support
освеще́ние	illumination
вертолѐт	helicopter
ду́ра	fool (female)
печа́тать	print, type, publish
пейза́ж	landscape
боеви́к	action film, terrorist
печа́ль	sadness
не́когда	no time
пиджа́к	jacket, coat
пане́ль	panel
хрен	horseradish, dick (slang)
космона́вт	astronaut
фаши́стский	fascist
жа́жда	thirst
ре́чка	small river
снару́жи	outside
совоку́пность	aggregate, total
диа́гноз	diagnosis
дра́ка	fight
земе́льный	land
иллюстра́ция	illustration
ка́ша	porridge
мы́сленно	mentally
вытека́ть	follow, leak
поры́в	fit
обновле́ние	update, review
кошма́р	nightmare
компози́ция	composition
лук	onion, bow
ча́стый	frequent
диапазо́н	range
слон	elephant
гуманита́рный	humanitarian
прое́зд	entry, passage, travel
торго́вец	trader, trafficker
хи́трый	sly
ежего́дный	annual
натура́льный	natural
со́товый	mobile
ку́кла	doll
чемпио́н	champion
выделе́ние	release, allotment
прыжо́к	jump
фунт	pound
у́голь	coal
листо́к	sheet, leaf
я́рость	rage
сверка́ть	glisten
мяч	ball
но́готь	nail
носо́к	sock
награжда́ть	award
ни́же	below, lower
жа́ркий	hot
дие́та	diet
периоди́чески	periodically, from time
за́работный	wage
совреме́нник	contemporary
поврежде́ние	damage
увольня́ть	sack
ве́на	vein
топо́р	axe
маги́ческий	magic
коммуни́зм	communism
подзе́мный	underground
конве́рт	envelope
ник	nickname, username
реме́нь	belt
за́яц	hare
стесня́ться	be shy, be embarrassed
любо́вник	lover
руга́ться	swear, argue
наилу́чший	best
каранда́ш	pencil
ус	moustache
разря́д	category, discharge
зафикси́ровать	record
изнутри́	from within
принце́сса	princess
ра́довать	cheer up
соли́дный	reputable
пар	steam
сосу́д	vessel
сырой	raw, damp
траги́ческий	tragic
и́ндекс	index, post code
самоуправле́ние	self-government
лу́жа	puddle
неподалѐку	not far
чу́вствоваться	be felt, be sensed
пси́хика	mind
орѐл	eagle
ре́плика	retort, line
свети́ть	shine
телегра́мма	telegram
се́ссия	session, examination period
пло́тно	tightly
у́мственный	mental
кинотеа́тр	cinema
компле́кт	set
те́сно	closely
учи́тельница	teacher
ве́чность	eternity
не́куда	nowhere
свети́ться	shine
тре́нинг	training
интегра́ция	integration
себе́	(to) oneself
конья́к	cognac, brandy
наи́вный	naïve
рва́ться	tear, strive
зали́в	gulf, bay
отчѐтливо	distinctly
дефици́т	deficit
осе́нний	autumn
пенсионе́р	pensioner
крестья́нский	peasant
пожела́ние	wish
порта́л	portal
программи́рование	programming
сеа́нс	screening, show
ка́сса	cash desk
столи́чный	metropolitan, capital
скаме́йка	bench
пое́сть	eat
спортсме́н	athlete
телевизио́нный	television
че́тверо	four (people)
годи́ться	be suitable
старт	start
изобрете́ние	invention
алгори́тм	algorithm
обуча́ть	teach, train
ката́ться	ride
относи́тельный	relative
сла́бо	weak(ly)
заключѐнный	prisoner
кирпи́ч	brick
стук	knock
работода́тель	employer
аре́нда	rent
ознако́миться	be familiar, know
невозмо́жность	impossibility
тропа́	path
во́дный	water
ЕС	EU
заты́лок	back of the head
организацио́нный	organizational
механи́ческий	mechanical
раздраже́ние	irritation
потяну́ться	stretch
календа́рь	calendar
подру́жка	friend (female)
гру́бо	harsh, roughly
ора́нжевый	orange
ширина́	width
зака́т	sunset
всю́ду	everywhere
торжество́	celebration, ceremony, triumph
написа́ние	writing, spelling
оди́ннадцать	eleven
модерниза́ция	modernization
инфраструкту́ра	infrastructure
перепи́ска	correspondence
ми́тинг	meeting
госпожа́	Mrs
самоуби́йство	suicide
гнездо́	nest
прибега́ть	run
созна́тельный	conscious
поэ́ма	poem
мы́ло	soap
ранг	rank
блин	pancake, damn
корру́пция	corruption
жир	fat
пожа́ловаться	complain
фи́нский	Finnish
га́зовый	gas
подборо́док	chin, beard
о́пера	opera
суп	soup
упо́рно	stubbornly
арома́т	smell, fragrance
деся́тый	tenth
напра́во	to the right
по́лночь	midnight
разочарова́ние	disappointment
Госду́ма	State Duma
бере́менный	pregnant
сосе́дка	neighbour
гражда́нство	citizenship
про́чный	firm
три́ста	three hundred
огонѐк	flame
общежи́тие	hostel
фильтр	filter
бу́ря	storm
ерунда́	nonsense
му́жество	courage, bravery
печь	oven
ре́зать	cut, chop
анали́тик	analyst
фи́зик	physicist
паро́ль	password
шофѐр	driver
до́лжный	due, proper
жи́рный	fatty
паралле́льный	parallel
провожа́ть	accompany
заде́ржка	delay
сопротивля́ться	resist
физи́чески	physically
инфля́ция	inflation
тамо́женный	customs
гла́дкий	smooth
недо́лго	not long
регуля́рный	regular
това́рный	trade
экску́рсия	excursion
по-ра́зному	differently
усло́вный	conditional, suspended
депре́ссия	depression
заку́ривать	light up (cigarette)
стро́йный	slim
украше́ние	jewellery, decoration
при́зрак	ghost
публикова́ть	publish
продолжи́тельность	duration
о́вощ	vegetable
сновиде́ние	dream
сериа́л	serial, soap opera
уменьше́ние	decrease
отража́ться	be reflected
болта́ть	dangle, chat
одева́ться	dress
переу́лок	alley
симпто́м	symptom
прожива́ние	residence
фо́кус	trick, focus
мы́шка	mouse
бо́чка	barrel, cask
боле́зненный	painful
барье́р	barrier
увлече́ние	passion, hobby
обсле́дование	examination
пло́скость	plane
террори́зм	terrorism
диста́нция	distance
регули́ровать	regulate, adjust
прохо́жий	passer-by
отвози́ть	take
позади́	behind
ура́	hooray
ви́димый	visible
роско́шный	luxurious
делега́ция	delegation
за́висть	envy
выки́дывать	throw away
трамва́й	tram
комбина́ция	combination
решѐтка	bars, lattice
скуча́ть	miss, be bored
дереве́нский	rural
коме́дия	comedy
стаби́льный	stable
мѐд	honey
энерге́тика	power industry, energy
функциони́рование	functioning
руга́ть	scold
шампа́нское	champagne
экономи́ст	economist
специализи́рованный	specialized
ТВ	TV
жена́тый	married
заголо́вок	title
руче́й	stream
выполня́ться	be performed, be executed, be fulfilled
тести́рование	testing
престу́пный	criminal
гара́ж	garage
ру́брика	heading, section
дра́ма	drama
включе́ние	inclusion, turning on
концентра́ция	concentration
актри́са	actress
командиро́вка	business trip
стально́й	steel
ось	axis
грек	Greek
звуково́й	audio
пре́лесть	charm
ограни́чивать	restrict
простота́	simplicity
рог	horn
нале́во	to the left
ген	gene
герои́ня	heroine
новичо́к	newcomer
кори́чневый	brown
годово́й	year, year's
ко́мплексный	complex, integrated, set (meal)
возвра́т	return
парла́ментский	parliamentary
арме́йский	army
ликвида́ция	liquidation, elimination
неизме́нный	invariable, constant
винто́вка	rifle
исла́м	Islam
абстра́ктный	abstract
упако́вка	packing, package
родны́е	family
сюрпри́з	surprise
перево́зка	transportation
щель	chink, crack
неуда́чный	unsuccessful
сырьѐ	raw material
мусульма́нин	Muslim
потреби́тельский	consumer
аналити́ческий	analytical
тротуа́р	pavement
па́ника	panic
рейс	flight, voyage
рождество́	Christmas
по́рция	portion
колеба́ться	fluctuate
схо́дство	similarity
наверху́	upstairs, on top
ручно́й	manual, hand
вечери́нка	party
осторо́жный	cautious
девя́тый	ninth
осмо́тр	inspection, check
бык	bull
обожа́ть	adore
академи́ческий	academic
блесте́ть	shine, flash
напра́сно	in vain, for nothing
коэффицие́нт	coefficient, factor
нове́йший	newest, latest
плака́т	poster
матери́нский	maternal
примити́вный	primitive
мат	mat, obscene language
отврати́тельный	disgusting
ве́рность	loyalty
поблагодари́ть	thank
вла́жный	wet
